question_template_name,question_text_1,question_text_2,question_text_equation,difficulty,answer_1_text,answer_2_text,answer_3_text,answer_1_correct,answer_2_correct,answer_3_correct,answer_1_option,answer_2_option,answer_3_option,answer_1_next_q_template,answer_2_next_q_template,answer_3_next_q_template,answer_1_hint,answer_2_hint,answer_3_hint
equations as constraints,question text 1,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
equations as constraints,question text 2,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,relationships & modeling equations,,,
equations as constraints,question text 3,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
equations as constraints,question text 4,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,Algebraic Manipulation - III,,,,
equations as constraints,question text 5,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
equations as constraints,question text 6,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,Algebraic Manipulation - III,,,
graph analysis,question text 7,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
graph analysis,question text 8,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,coordinate plane,relationships & modeling equations,,,,
graph analysis,question text 9,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
graph analysis,question text 10,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
graph analysis,question text 11,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
graph analysis,question text 12,question text 2,,high,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
defining & using slope,question text 13,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
defining & using slope,question text 14,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 15,question text 2,,medium,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 16,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
defining & using slope,question text 17,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
defining & using slope,question text 18,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 19,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 20,question text 2,,low,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
slope intercept form,question text 21,question text 2,,medium,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,relationships & modeling equations,,coordinate plane,,,
slope intercept form,question text 22,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,relationships & modeling equations,coordinate plane,,,
slope intercept form,question text 23,question text 2,,high,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,relationships & modeling equations,coordinate plane,,,,
slope intercept form,question text 24,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
point slope form,question text 25,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,coordinate plane,,,
point slope form,question text 26,question text 2,,low,option 1 - False,option 2 - False,option 3 - True,False,False,True,A,B,C,Algebraic Manipulation - III,relationships & modeling equations,,,,
point slope form,question text 27,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,coordinate plane,relationships & modeling equations,,,
point slope form,question text 28,question text 2,,medium,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,relationships & modeling equations,,,
point slope form,question text 29,question text 2,,high,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,coordinate plane,,relationships & modeling equations,,,
point slope form,question text 30,question text 2,,high,option 1 - True,option 2 - False,option 3 - False,True,False,False,A,B,C,,Algebraic Manipulation - III,coordinate plane,,,
systems of equations - substitution,question text 31,question text 2,,low,option 1 - False,option 2 - True,option 3 - False,False,True,False,A,B,C,Algebraic Manipulation - III,,relationships & modeling equations,,,
